Provinces Name,Provinces Code,Series Name,Series Code,2013 [YR2013]
"Lamongan, Kab.",ID.JI.LA,Human Development Index,IDX.HDI,71.81
"Lumajang, Kab.",ID.JI.LU,Human Development Index,IDX.HDI,69.5
"Madiun, Kab.",ID.JI.MN,Human Development Index,IDX.HDI,71.46
"Madiun, Kota",ID.JI.MD,Human Development Index,IDX.HDI,78.17
"Magetan, Kab.",ID.JI.MT,Human Development Index,IDX.HDI,74.34
"Malang, Kab.",ID.JI.MG,Human Development Index,IDX.HDI,72.34
"Malang, Kota",ID.JI.ML,Human Development Index,IDX.HDI,78.78
"Mojokerto, Kab.",ID.JI.MK,Human Development Index,IDX.HDI,75.26
"Mojokerto, Kota",ID.JI.MJ,Human Development Index,IDX.HDI,78.66
"Nganjuk, Kab.",ID.JI.NJ,Human Development Index,IDX.HDI,72.49
"Ngawi, Kab.",ID.JI.NW,Human Development Index,IDX.HDI,70.86
"Pacitan, Kab.",ID.JI.PC,Human Development Index,IDX.HDI,73.36
"Pamekasan, Kab.",ID.JI.PK,Human Development Index,IDX.HDI,67.17
"Pasuruan, Kab.",ID.JI.PR,Human Development Index,IDX.HDI,69.77
"Pasuruan, Kota",ID.JI.PS,Human Development Index,IDX.HDI,74.75
"Ponorogo, Kab.",ID.JI.PG,Human Development Index,IDX.HDI,72.61
"Probolinggo, Kab.",ID.JI.PL,Human Development Index,IDX.HDI,65.19
"Probolinggo, Kota",ID.JI.PO,Human Development Index,IDX.HDI,75.94
"Sampang, Kab.",ID.JI.SA,Human Development Index,IDX.HDI,62.39
"Sidoarjo, Kab.",ID.JI.SD,Human Development Index,IDX.HDI,78.15
"Situbondo, Kab.",ID.JI.SB,Human Development Index,IDX.HDI,65.73
"Sumenep, Kab.",ID.JI.SM,Human Development Index,IDX.HDI,66.89
"Surabaya, Kota",ID.JI.SR,Human Development Index,IDX.HDI,78.97
"Trenggalek, Kab.",ID.JI.TR,Human Development Index,IDX.HDI,74.44
"Tuban, Kab.",ID.JI.TB,Human Development Index,IDX.HDI,70.04
"Tulungagung, Kab.",ID.JI.TG,Human Development Index,IDX.HDI,74.79
"Bengkayang, Kab.",ID.KB.BE,Human Development Index,IDX.HDI,69.38
"Kapuas Hulu, Kab.",ID.KB.KH,Human Development Index,IDX.HDI,70.97
"Kayong Utara, Kab.",ID.KB.KU,Human Development Index,IDX.HDI,66.83
"Ketapang, Kab.",ID.KB.KE,Human Development Index,IDX.HDI,69.74
"Kubu Raya, Kab.",ID.KB.KR,Human Development Index,IDX.HDI,69.32
"Landak, Kab.",ID.KB.LA,Human Development Index,IDX.HDI,69.58
"Melawi, Kab.",ID.KB.ME,Human Development Index,IDX.HDI,69.86
"Pontianak, Kab.",ID.KB.PR,Human Development Index,IDX.HDI,70.13
"Pontianak, Kota",ID.KB.PN,Human Development Index,IDX.HDI,74.64
"Sambas, Kab.",ID.KB.SM,Human Development Index,IDX.HDI,66.81
"Sanggau, Kab.",ID.KB.SN,Human Development Index,IDX.HDI,70.3
"Sekadau, Kab.",ID.KB.SE,Human Development Index,IDX.HDI,68.99
"Singkawang, Kota",ID.KB.SK,Human Development Index,IDX.HDI,70.66
"Sintang, Kab.",ID.KB.SI,Human Development Index,IDX.HDI,69.81
"Balangan, Kab.",ID.KS.BA,Human Development Index,IDX.HDI,68.3
"Banjar Baru, Kota",ID.KS.BB,Human Development Index,IDX.HDI,76.86
"Banjar, Kab.",ID.JR.BA,Human Development Index,IDX.HDI,72.3
"Banjarmasin, Kota",ID.KS.BM,Human Development Index,IDX.HDI,75.28
"Barito Kuala, Kab.",ID.KS.BK,Human Development Index,IDX.HDI,69.31
"Hulu Sungai Selatan, Kab.",ID.KS.HS,Human Development Index,IDX.HDI,72
"Hulu Sungai Tengah, Kab.",ID.KS.HT,Human Development Index,IDX.HDI,72.21
"Hulu Sungai Utara, Kab.",ID.KS.HU,Human Development Index,IDX.HDI,70.58
"Kota Baru, Kab.",ID.KS.KB,Human Development Index,IDX.HDI,73.15
"Tabalong, Kab.",ID.KS.TB,Human Development Index,IDX.HDI,71.56
"Tanah Bumbu, Kab.",ID.KS.TN,Human Development Index,IDX.HDI,71.82
"Tanah Laut, Kab.",ID.KS.TL,Human Development Index,IDX.HDI,73.46
"Tapin, Kab.",ID.KS.TP,Human Development Index,IDX.HDI,72.18
